  0.00000000E+00 -0.12778213E-02  0.27335332E-03 -0.76288610E+01
  0.56340304E-03 -0.13352968E-02  0.38290796E-03 -0.76290363E+01
  0.11268061E-02 -0.13943032E-02  0.49521025E-03 -0.76291079E+01
  0.16902091E-02 -0.14548092E-02  0.61020195E-03 -0.76290760E+01
  0.22536122E-02 -0.15167826E-02  0.72782309E-03 -0.76289409E+01
  0.28170152E-02 -0.15801901E-02  0.84801203E-03 -0.76287027E+01
  0.33804183E-02 -0.16449976E-02  0.97070539E-03 -0.76283617E+01
  0.39438213E-02 -0.17111699E-02  0.10958381E-02 -0.76279180E+01
  0.45072244E-02 -0.17786709E-02  0.12233433E-02 -0.76273721E+01
  0.50706274E-02 -0.18474635E-02  0.13531525E-02 -0.76267241E+01
  0.56340304E-02 -0.19175095E-02  0.14851956E-02 -0.76259744E+01
  0.61974335E-02 -0.19887698E-02  0.16194005E-02 -0.76251231E+01
  0.67608365E-02 -0.20612044E-02  0.17556938E-02 -0.76241708E+01
  0.73242396E-02 -0.21347721E-02  0.18940000E-02 -0.76231175E+01
  0.78876426E-02 -0.22094309E-02  0.20342422E-02 -0.76219638E+01
  0.84510457E-02 -0.22851378E-02  0.21763416E-02 -0.76207100E+01
  0.90144487E-02 -0.23618487E-02  0.23202180E-02 -0.76193563E+01
  0.95778518E-02 -0.24395184E-02  0.24657894E-02 -0.76179032E+01
  0.10141255E-01 -0.25181011E-02  0.26129719E-02 -0.76163511E+01
  0.10704658E-01 -0.25975496E-02  0.27616804E-02 -0.76147004E+01
  0.11268061E-01 -0.26778160E-02  0.29118278E-02 -0.76129513E+01
  0.11831464E-01 -0.27588512E-02  0.30633256E-02 -0.76111045E+01
  0.12394867E-01 -0.28406053E-02  0.32160834E-02 -0.76091602E+01
  0.12958270E-01 -0.29230273E-02  0.33700095E-02 -0.76071190E+01
  0.13521673E-01 -0.30060653E-02  0.35250104E-02 -0.76049812E+01
  0.14085076E-01 -0.30896665E-02  0.36809912E-02 -0.76027474E+01
  0.14648479E-01 -0.31737768E-02  0.38378552E-02 -0.76004179E+01
  0.15211882E-01 -0.32583416E-02  0.39955043E-02 -0.75979933E+01
  0.15775285E-01 -0.33433050E-02  0.41538389E-02 -0.75954740E+01
  0.16338688E-01 -0.34286104E-02  0.43127576E-02 -0.75928605E+01
  0.16902091E-01 -0.35142000E-02  0.44721579E-02 -0.75901534E+01
  0.17465494E-01 -0.36000152E-02  0.46319356E-02 -0.75873531E+01
  0.18028897E-01 -0.36859965E-02  0.47919848E-02 -0.75844601E+01
  0.18592300E-01 -0.37720836E-02  0.49521986E-02 -0.75814749E+01
  0.19155704E-01 -0.38582149E-02  0.51124682E-02 -0.75783982E+01
  0.19719107E-01 -0.39443283E-02  0.52726839E-02 -0.75752304E+01
  0.20282510E-01 -0.40303606E-02  0.54327340E-02 -0.75719720E+01
  0.20845913E-01 -0.41162478E-02  0.55925059E-02 -0.75686236E+01
  0.21409316E-01 -0.42019249E-02  0.57518855E-02 -0.75651858E+01
  0.21972719E-01 -0.42873262E-02  0.59107572E-02 -0.75616591E+01
  0.22536122E-01 -0.43723850E-02  0.60690043E-02 -0.75580441E+01
  0.23099525E-01 -0.44570339E-02  0.62265087E-02 -0.75543413E+01
  0.23662928E-01 -0.45412045E-02  0.63831511E-02 -0.75505514E+01
  0.24226331E-01 -0.46248278E-02  0.65388109E-02 -0.75466749E+01
  0.24789734E-01 -0.47078338E-02  0.66933662E-02 -0.75427124E+01
  0.25353137E-01 -0.47901519E-02  0.68466940E-02 -0.75386644E+01
  0.25916540E-01 -0.48717104E-02  0.69986702E-02 -0.75345316E+01
  0.26479943E-01 -0.49524372E-02  0.71491695E-02 -0.75303146E+01
  0.27043346E-01 -0.50322593E-02  0.72980653E-02 -0.75260139E+01
  0.27606749E-01 -0.51111028E-02  0.74452302E-02 -0.75216302E+01
  0.28170152E-01 -0.51888934E-02  0.75905355E-02 -0.75171641E+01
  0.28733555E-01 -0.52655558E-02  0.77338517E-02 -0.75126161E+01
  0.29296958E-01 -0.53410143E-02  0.78750479E-02 -0.75079869E+01
  0.29860361E-01 -0.54151922E-02  0.80139927E-02 -0.75032772E+01
  0.30423764E-01 -0.54880124E-02  0.81505533E-02 -0.74984874E+01
  0.30987167E-01 -0.55593970E-02  0.82845963E-02 -0.74936182E+01
  0.31550571E-01 -0.56292676E-02  0.84159874E-02 -0.74886703E+01
  0.32113974E-01 -0.56975452E-02  0.85445911E-02 -0.74836442E+01
  0.32677377E-01 -0.57641500E-02  0.86702715E-02 -0.74785406E+01
  0.33240780E-01 -0.58290020E-02  0.87928916E-02 -0.74733601E+01
  0.33804183E-01 -0.58920202E-02  0.89123138E-02 -0.74681032E+01
  0.34367586E-01 -0.59531235E-02  0.90283996E-02 -0.74627707E+01
  0.34930989E-01 -0.60122300E-02  0.91410099E-02 -0.74573631E+01
  0.35494392E-01 -0.60692575E-02  0.92500051E-02 -0.74518810E+01
  0.36057795E-01 -0.61241232E-02  0.93552446E-02 -0.74463251E+01
  0.36621198E-01 -0.61767438E-02  0.94565874E-02 -0.74406959E+01
  0.37184601E-01 -0.62270359E-02  0.95538920E-02 -0.74349941E+01
  0.37748004E-01 -0.62749152E-02  0.96470162E-02 -0.74292203E+01
  0.38311407E-01 -0.63202975E-02  0.97358175E-02 -0.74233751E+01
  0.38874810E-01 -0.63630979E-02  0.98201527E-02 -0.74174590E+01
  0.39438213E-01 -0.64032313E-02  0.98998784E-02 -0.74114728E+01
  0.40001616E-01 -0.64406122E-02  0.99748506E-02 -0.74054169E+01
  0.40565019E-01 -0.64751550E-02  0.10044925E-01 -0.73992920E+01
  0.41128422E-01 -0.65067737E-02  0.10109957E-01 -0.73930987E+01
  0.41691825E-01 -0.65353819E-02  0.10169802E-01 -0.73868375E+01
  0.42255228E-01 -0.65608932E-02  0.10224315E-01 -0.73805091E+01
  0.42818631E-01 -0.65832210E-02  0.10273350E-01 -0.73741140E+01
  0.43382034E-01 -0.66022784E-02  0.10316762E-01 -0.73676528E+01
  0.43945437E-01 -0.66179784E-02  0.10354406E-01 -0.73611261E+01
  0.44508841E-01 -0.66302339E-02  0.10386135E-01 -0.73545344E+01
  0.45072244E-01 -0.66389577E-02  0.10411804E-01 -0.73478783E+01
  0.45635647E-01 -0.66440625E-02  0.10431268E-01 -0.73411583E+01
  0.46199050E-01 -0.66454609E-02  0.10444379E-01 -0.73343751E+01
  0.46762453E-01 -0.66430657E-02  0.10450994E-01 -0.73275291E+01
  0.47325856E-01 -0.66367895E-02  0.10450965E-01 -0.73206210E+01
  0.47889259E-01 -0.66265449E-02  0.10444149E-01 -0.73136511E+01
  0.48452662E-01 -0.66122446E-02  0.10430399E-01 -0.73066202E+01
  0.49016065E-01 -0.65938016E-02  0.10409570E-01 -0.72995286E+01
  0.49579468E-01 -0.65711288E-02  0.10381518E-01 -0.72923769E+01
  0.50142871E-01 -0.65441391E-02  0.10346098E-01 -0.72851657E+01
  0.50706274E-01 -0.65127460E-02  0.10303167E-01 -0.72778953E+01
  0.51269677E-01 -0.64768627E-02  0.10252580E-01 -0.72705664E+01
  0.51833080E-01 -0.64364030E-02  0.10194195E-01 -0.72631794E+01
  0.52396483E-01 -0.63912808E-02  0.10127868E-01 -0.72557348E+01
  0.52959886E-01 -0.63414102E-02  0.10053457E-01 -0.72482331E+01
  0.53523289E-01 -0.62867058E-02  0.99708204E-02 -0.72406747E+01
  0.54086692E-01 -0.62270824E-02  0.98798174E-02 -0.72330601E+01
  0.54650095E-01 -0.61624551E-02  0.97803073E-02 -0.72253898E+01
  0.55213498E-01 -0.60927396E-02  0.96721502E-02 -0.72176643E+01
  0.55776901E-01 -0.60178519E-02  0.95552072E-02 -0.72098838E+01
  0.56340304E-01 -0.59377084E-02  0.94293399E-02 -0.72020490E+01
  0.56903708E-01 -0.58522260E-02  0.92944108E-02 -0.71941602E+01
